,label,text,words
0,1,the scorpion king is more fun than conan the barbarian . ,11
1,1,a penetrating  potent exploration of sanctimony  self-awareness  self-hatred and self-determination . ,11
2,0,has its moments  but it's pretty far from a treasure . ,11
3,1,eight crazy nights is a showcase for sandler's many talents . ,11
4,0,sad nonsense  this . but not without cheesy fun factor . ,11
5,0,a sham construct based on theory  sleight-of-hand  and ill-wrought hypothesis . ,11
6,0, . . . a cheap  ludicrous attempt at serious horror . ,11
7,0,a movie you observe  rather than one you enter into . ,11
8,0,needless to say  the dramatics that follow are utter hooey . ,11
9,0,do we really need another film that praises female self-sacrifice ? ,11
10,0,a painfully leaden film destined for pre-dawn cable television slots . ,11
11,1,there's a vastness implied in metropolis that is just breathtaking . ,11
12,0,represents the depths to which the girls-behaving-badly film has fallen . ,11
13,1,mostly honest  this somber picture reveals itself slowly  intelligently  artfully . ,11
14,1,nicely serves as an examination of a society in transition . ,11
15,0,a markedly inactive film  city is conversational bordering on confessional . ,11
16,0,despite some comic sparks  welcome to collinwood never catches fire . ,11
17,1,i admired it particularly that unexpected downer of an ending . ,11
18,1,takes a simple premise and carries it to unexpected heights . ,11
19,0,we've liked klein's other work but rollerball left us cold . ,11
20,1,michel piccoli's moving performance is this films reason for being . ,11
21,1,an absorbing slice-of-depression life that touches nerves and rings true . ,11
22,1,constantly touching  surprisingly funny  semi-surrealist exploration of the creative act . ,11
23,0,de niro cries . you'll cry for your money back . ,11
24,0,summer's far too fleeting to squander on offal like this . ,11
25,0,a perplexing example of promise unfulfilled  despite many charming moments . ,11
26,1,by its modest  straight-ahead standards  undisputed scores a direct hit . ,11
27,1,ultimately it ponders the reasons we need stories so much . ,11
28,1,makes an aborbing if arguable case for the man's greatness . ,11
29,0,just entertaining enough not to hate  too mediocre to love . ,11
30,0,very well made  but doesn't generate a lot of tension . ,11
31,0,a bland animated sequel that hardly seems worth the effort . ,11
32,1,' . . . a great  participatory spectator sport . ',11
33,1,jones has delivered a solidly entertaining and moving family drama . ,11
34,1,terrific casting and solid execution give all three stories life . ,11
35,1,this is a stunning film  a one-of-a-kind tour de force . ,11
36,1,i liked it because it was so endlessly  grotesquely  inventive . ,11
37,1,delivers roughly equal amounts of beautiful movement and inside information . ,11
38,0,the film is really not so much bad as bland . ,11
39,0,no telegraphing is too obvious or simplistic for this movie . ,11
40,1,watching spirited away is like watching an eastern imagination explode . ,11
41,1,offers a breath of the fresh air of true sophistication . ,11
42,0,forget the misleading title  what's with the unexplained baboon cameo ? ,11
43,1,rarely  a movie is more than a movie . go . ,11
44,1,this is one of the outstanding thrillers of recent years . ,11
45,1,sex is one of those films that aims to confuse . ,11
46,0,the entire movie is in need of a scented bath . ,11
47,0,while hoffman's performance is great  the subject matter goes nowhere . ,11
48,1,very psychoanalytical -- provocatively so -- and also refreshingly literary . ,11
49,1,shiner can certainly go the distance  but isn't world championship material,11
50,1,genuinely touching because it's realistic about all kinds of love . ,11
51,1,davis has filled out his cast with appealing fresh faces . ,11
52,0,the satire is just too easy to be genuinely satisfying . ,11
53,1,"the best part about "" gangs "" was daniel day-lewis . ",11
54,0,director david fincher and writer david koepp can't sustain it . ,11
55,0,the piquant story needs more dramatic meat on its bones . ,11
56,1, . . . an enjoyably frothy 'date movie' . . . ,11
57,1,a finely tuned mood piece  a model of menacing atmosphere . ,11
58,1,[allen] manages to breathe life into this somewhat tired premise . ,11
59,0,a retread of material already thoroughly plumbed by martin scorsese . ,11
60,0,it is bad  but certainly not without merit as entertainment . ,11
61,1,richly entertaining and suggestive of any number of metaphorical readings . ,11
62,1,brilliantly written and well-acted  yellow asphalt is an uncompromising film . ,11
63,0,an average b-movie with no aspirations to be anything more . ,11
64,0,it almost plays like solaris  but with guns and jokes . ,11
65,0,the mushy finale turns john q into a movie-of-the-week tearjerker . ,11
66,1,this may be burns's strongest film since the brothers mcmullen . ,11
67,1,jeffrey tambor's performance as the intelligent jazz-playing exterminator is oscar-worthy . ,11
68,1,"as a science fiction movie  "" minority report "" astounds . ",11
69,1,it's always fascinating to watch marker the essayist at work . ,11
70,0,barrels along at the start before becoming mired in sentimentality . ,11
71,1,i've never bought from telemarketers but i bought this movie . ,11
72,0,essentially  the film is weak on detail and strong on personality,11
73,0,despite all the closed-door hanky-panky  the film is essentially juiceless . ,11
74,0,the feature-length stretch . . . strains the show's concept . ,11
75,1,one of the greatest romantic comedies of the past decade . ,11
76,0,reeks of rot and hack work from start to finish . ,11
77,0,a film without surprise geared toward maximum comfort and familiarity . ,11
78,1,it's fun but the code-talk will fly right over everyone's head,11
79,0,[t]he ideas of revolution #9 are more compelling than the execution,11
80,1,ya-yas everywhere will forgive the flaws and love the film . ,11
81,0, . . . unlikable  uninteresting  unfunny  and completely  utterly inept . ,11
82,0,the central character isn't complex enough to hold our interest . ,11
83,1,told just proficiently enough to trounce its overly comfortable trappings . ,11
84,0,friday after next is a lot more bluster than bite . ,11
85,1,insanely hilarious ! i haven't laughed that hard in years ! ,11
86,1,fans of nijinsky will savor every minute of cox's work . ,11
87,0,not a stereotype is omitted nor a clich� left unsaid . ,11
88,0,minority report is exactly what the title indicates  a report . ,11
89,1,the premise of jason x is silly but strangely believable . ,11
90,1,overall  interesting as a documentary -- but not very imaxy . ,11
91,1,a warm but realistic meditation on friendship family and affection . ,11
92,0,better at putting you to sleep than a sound machine . ,11
93,0,there's a reason why halftime is only fifteen minutes long . ,11
94,1,this is christmas future for a lot of baby boomers . ,11
95,1,the movie has a soft percolating magic a deadpan suspense . ,11
