label,text,words
1,allen's underestimated charm delivers more goodies than lumps of coal . ,11
0,skip the film and buy the philip glass soundtrack cd . ,11
0,involving at times  but lapses quite casually into the absurd . ,11
0,while hoffman's performance is great  the subject matter goes nowhere . ,11
1,a flick about our infantilized culture that isn't entirely infantile . ,11
1,half submarine flick half ghost story all in one criminally neglected film,12
1,intelligent  caustic take on a great writer and dubious human being . ,12
1,at 78 minutes it just zings along with vibrance and warmth . ,12
0,simply doesn't have sufficient heft to justify its two-hour running time . ,12
1,a work of intricate elegance literary lyricism and profound common sense . ,12
1,smart and alert  thirteen conversations about one thing is a small gem . ,13
0,it's a bad sign in a thriller when you instantly know whodunit . ,13
1,the rare imax movie that you'll wish was longer than an hour . ,13
1,by no means a great movie but it is a refreshingly forthright one . ,14
0,falsehoods pile up  undermining the movie's reality and stifling its creator's comic voice . ,14
1,directors brett morgen and nanette burstein have put together a bold biographical fantasia . ,14
1,one of the year's best films  featuring an oscar-worthy performance by julianne moore . ,14
1,grant carries the day with impeccable comic timing  raffish charm and piercing intellect . ,14
0,a real clunker . a well-made  thoughtful  well-acted clunker  but a clunker nonetheless . ,14
1,this charming  thought-provoking new york fest of life and love has its rewards . ,14
0,there's a delightfully quirky movie to be made from curling  but brooms isn't it . ,15
1,sometimes nothing satisfies like old-fashioned swashbuckling . and in this regard on guard delivers . ,15
1,the moral shrapnel and mental shellshock will linger long after this film has ended . ,15
0,cacoyannis is perhaps too effective in creating an atmosphere of dust-caked stagnation and labored gentility . ,16
0,it delivers some chills and sustained unease  but flounders in its quest for deeper meaning . ,16
1,a rich tale of our times  very well told with an appropriate minimum of means . ,16
1,achieves a sort of filmic epiphany that revels in the true potential of the medium . ,16
0,a long  dull procession of despair  set to cello music culled from a minimalist funeral . ,16
1,awesome creatures breathtaking scenery and epic battle scenes add up to another 'spectacular spectacle . ',16
1,a fascinating dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction . ,17
1,it was filled with shootings  beatings  and more cussing than you could shake a stick at . ,17
0,about as original as a gangster sweating bullets while worrying about a contract on his life . ,17
0,could the country bears really be as bad as its trailers ? in a word -- yes . ,18
0,the movie has generic virtues  and despite a lot of involved talent  seems done by the numbers . ,18
0,doesn't get the job done  running off the limited chemistry created by ralph fiennes and jennifer lopez . ,18
0,director carl franklin  so crisp and economical in one false move  bogs down in genre cliches here . ,18
0,the master of disguise is awful . it's pauly shore awful . don't say you weren't warned . ,18
1,spielberg's first real masterpiece  it deserved all the hearts it won -- and wins still  20 years later . ,19
1,if you love reading and/or poetry then by all means check it out . you'll probably love it . ,19
1,as comedic spotlights go notorious c . h . o . hits all the verbal marks it should . ,19
1,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances . ,20
